cross, 0
dot, 3
t44, 3
t2, 5
t4, 7
t24, 7
natural, 15
p, 15
bar_b, 16
clef, 25
1, 32
flat, 33
#, 43
4, 77
8, 98
2, 151
16, 341
32, 358
8_b_n, 360
t44_b, 416
t24_b, 431
8_b_r, 496
dot_b, 548
16_b_n, 720
a_32, 941
16_b_r, 1008
chord, 1011
clef_b, 1141
32_b_n, 1416
32_b_r, 1428
flat_b, 1683
a_1, 1683
natural_b, 1752
a_16, 1856
#_b, 1946
a_8, 2299
a_2, 2362
a_4, 2733
bar, 4161
